watchmode_id,imdb_id,title,year,metascore,genre,plot,nb_sources,sources,prix_min,sources_min,already_seen,never_watch
1727260,tt32246771,Bring Her Back,2025,75,"Horror, Mystery",A brother and sister uncover a terrifying ritual at the secluded home of their new foster mother.,18,"AppleTV, Cineplex, Amazon, FlixFling, Plex, Prime Video",5.99,FlixFling,false,false
1530676,tt3045628,Holland,2025,42,"Crime, Drama, Mystery","A woman's picture-perfect life in quaint Holland, Michigan, crumbles when she and a friend uncover a twisted secret in their midst.",1,Prime Video,,,false,false
1835776,tt23724242,Last Take: Rust and the Story of Halyna,2025,67,Documentary,"A personal look at the life, work and untimely death of celebrated indie cinematographer Halyna Hutchins, who was shot and killed in a tragic accident on the set of the film Rust in 2021.",1,Disney+,,,false,true
1710052,tt27812086,Cleaner,2025,51,"Action, Drama, Thriller","Criminal activists hijack a gala, taking 300 hostages. One extremist plans mass murder as a message to the world. An Ex-soldier turned window cleaner now works to rescue the hostages.",15,"AppleTV, Paramount Plus, Cineplex, Amazon, YouTube",5.99,"AppleTV, Cineplex, Amazon, YouTube",false,false
1822595,tt31888477,Downton Abbey: The Grand Finale,2025,66,Drama,"When Mary finds herself in a public scandal and the family faces financial trouble, the household grapples with the threat of social disgrace. The Crawleys must embrace change with the next generation leading Downton Abbey into th...",12,"AppleTV, Amazon",24.99,"AppleTV, Amazon",false,false
1567833,tt9619824,Final Destination Bloodlines,2025,73,"Horror, Thriller","Plagued by a recurring violent nightmare, a college student returns home to find the one person who can break the cycle and save her family from the horrific fate that inevitably awaits them.",15,"AppleTV, Cineplex, Amazon, Crave",6.99,"AppleTV, Cineplex",true,false
1695539,tt3402138,The Naked Gun,2025,75,"Action, Comedy, Crime",Only one man has the particular set of skills - to lead Police Squad and save the world.,17,"AppleTV, Paramount Plus, Cineplex, Amazon, Plex",6.99,"AppleTV, Plex, Amazon",false,false
1690770,tt13650814,Borderline,2025,63,"Comedy, Horror, Thriller",A bodyguard protects a pop superstar and her athlete boyfriend from a determined stalker in 1990s Los Angeles.,6,"AppleTV, YouTube",4.99,AppleTV,false,false
1784103,tt31036941,Jurassic World Rebirth,2025,50,"Action, Adventure, Sci-Fi","Five years post-Jurassic World: Dominion (2022), an expedition braves isolated equatorial regions to extract DNA from three massive prehistoric creatures for a groundbreaking medical breakthrough.",16,"AppleTV, Cineplex, Amazon",14.99,"AppleTV, Amazon",false,false
1819998,tt32299316,Dangerous Animals,2025,65,"Horror, Thriller","When Zephyr, a savvy and free-spirited surfer, is abducted by a shark-obsessed serial killer and held captive on his boat, she must figure out how to escape before he carries out a ritualistic feeding to the sharks below.",16,"AppleTV, Plex, Cineplex, Amazon",6.99,"AppleTV, Plex, Cineplex, Amazon",false,false
1858229,tt12908150,The Life of Chuck,2025,67,"Drama, Fantasy, Sci-Fi","A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz.",16,"AppleTV, Plex, Cineplex, Amazon",6.99,"AppleTV, Plex, Cineplex, Amazon",false,false
